symbol,name,industry,sector,market_cap,exchange
CIPLA,Cipla Limited,Drug Manufacturers - General,Healthcare,1343428100096,BSE
SBIN,State Bank of India,Banks - Regional,Financial Services,7112913584128,BSE
JSWSTEEL,JSW Steel Limited,Steel,Basic Materials,2504669265920,BSE
TRENT,Trent Limited,Apparel Retail,Consumer Cyclical,2706091540480,BSE
LICHSGFIN,LIC Housing Finance Limited,Mortgage Finance,Financial Services,362656497664,BSE
MRF,MRF Limited,Auto Parts,Consumer Cyclical,594488393728,BSE
VEDL,Vedanta Limited,Other Industrial Metals & Mining,Basic Materials,2015141691392,BSE
ONGC,Oil and Natural Gas Corporation Limited,Oil & Gas Integrated,Energy,3676592668672,BSE
AMBUJACEM,Ambuja Cements Limited,Building Materials,Basic Materials,1556199112704,BSE
HINDALCO,Hindalco Industries Limited,Aluminum,Basic Materials,1691116371968,BSE
ASHOKLEY,Ashok Leyland Limited,Farm & Heavy Construction Machinery,Industrials,699310800896,BSE
TATACOMM,Tata Communications Limited,Telecom Services,Communication Services,614830505984,BSE
BPCL,Bharat Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,1572309434368,BSE
NESTLEIND,Nestlé India Limited,Packaged Foods,Consumer Defensive,2610021269504,BSE
INDHOTEL,The Indian Hotels Company Limited,Lodging,Consumer Cyclical,969640574976,BSE
MOTHERSON,Samvardhana Motherson International Limited,Auto Parts,Consumer Cyclical,1482898800640,BSE
NMDC,NMDC Limited,Steel,Basic Materials,714629251072,BSE
BANKBARODA,Bank of Baroda Limited,Banks - Regional,Financial Services,1287410024448,BSE
BSOFT,Birlasoft Limited,Information Technology Services,Technology,164306223104,BSE
UNIONBANK,Union Bank of India,Banks - Regional,Financial Services,930155397120,BSE
DIVISLAB,Divi's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,1439850692608,BSE
PETRONET,Petronet LNG Limited,Oil & Gas Refining & Marketing,Energy,516374986752,BSE
COFORGE,Coforge Limited,Information Technology Services,Technology,475264188416,BSE
BAJAJ-AUTO,Bajaj Auto Limited,Auto Manufacturers,Consumer Cyclical,3404091359232,BSE
LTIM,LTIMindtree Limited,Information Technology Services,Technology,1856999391232,BSE
ABB,ABB India Limited,Specialty Industrial Machinery,Industrials,1751546724352,BSE
AEGISLOG,Aegis Logistics Limited,Oil & Gas Refining & Marketing,Energy,268006047744,BSE
ARE&M,Amara Raja Energy & Mobility Limited,Electrical Equipment & Parts,Industrials,258266562560,BSE
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Unknown,Unknown,4432470016,BSE
ANDHRAPET,The Andhra Petrochemicals Limited,Unknown,Unknown,8187863552,BSE
UTIQUE,Unknown,Unknown,Unknown,0,BSE
ARUNAHTEL,Aruna Hotels Limited,Unknown,Unknown,108720000,BSE
BOMDYEING,The Bombay Dyeing and Manufacturing Company Limited,Textile Manufacturing,Consumer Cyclical,46831812608,BSE
ASIANHOTNR,Asian Hotels (North) Limited,Lodging,Consumer Cyclical,4090035200,BSE
ATUL,Atul Ltd,Specialty Chemicals,Basic Materials,235896520704,BSE
ATVPR,ATV Projects India Limited,Unknown,Unknown,1871325952,BSE
BAJAJELEC,Bajaj Electricals Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,111812927488,BSE
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Confectioners,Consumer Defensive,53985542144,BSE
FORCEMOT,Force Motors Limited,Auto Manufacturers,Consumer Cyclical,100400766976,BSE
BAJFINANCE,Bajaj Finance Limited,Credit Services,Financial Services,4763795062784,BSE
BALRAMCHIN,Balrampur Chini Mills Limited,Confectioners,Consumer Defensive,137169141760,BSE
BANCOINDIA,Banco Products (India) Limited,Auto Parts,Consumer Cyclical,53524520960,BSE
CENTURYTEX,Aditya Birla Real Estate Limited,Paper & Paper Products,Basic Materials,319229952000,BSE
BANARISUG,Bannari Amman Sugars Limited,Confectioners,Consumer Defensive,46598778880,BSE
BASF,BASF India Limited,Specialty Chemicals,Basic Materials,342484320256,BSE
BATAINDIA,Bata India Limited,Footwear & Accessories,Consumer Cyclical,183448027136,BSE
BEML,BEML Limited,Conglomerates,Industrials,152918605824,BSE
BEL,Bharat Electronics Limited,Aerospace & Defense,Industrials,2075612151808,BSE
BEPL,Bhansali Engineering Polymers Limited,Chemicals,Basic Materials,38622760960,BSE
BIHSPONG,Bihar Sponge Iron Limited,Unknown,Unknown,1916864768,BSE
BINANIIND,Binani Industries Limited,Specialty Chemicals,Basic Materials,615718464,BSE
BIRLACABLE,Birla Cable Limited,Communication Equipment,Technology,7592999936,BSE
BLUESTARCO,Blue Star Limited,Building Products & Equipment,Industrials,431513927680,BSE
DISAQ,Disa India Limited,Unknown,Unknown,25883232256,BSE
QUESTCAP,Unknown,Unknown,Unknown,0,BSE
BPL,BPL Limited,Consumer Electronics,Technology,5384888832,BSE
OAL,Oriental Aromatics Limited,Specialty Chemicals,Basic Materials,17467899904,BSE
CENTEXT,Century Extrusions Limited,Aluminum,Basic Materials,1948800000,BSE
CESC,CESC Limited,Utilities - Regulated Electric,Utilities,266307010560,BSE
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Agricultural Inputs,Basic Materials,219176665088,BSE
EXIDEIND,Exide Industries Limited,Auto Parts,Consumer Cyclical,435114999808,BSE
CIPLA,Cipla Limited,Drug Manufacturers - General,Healthcare,1343428100096,BSE
DICIND,DIC India Limited,Specialty Chemicals,Basic Materials,6701114368,BSE
CRISIL,CRISIL Limited,Financial Data & Stock Exchanges,Financial Services,339361562624,BSE
CGPOWER,CG Power and Industrial Solutions Limited,Electrical Equipment & Parts,Industrials,1148278145024,BSE
DABUR,Dabur India Limited,Household & Personal Products,Consumer Defensive,1096882716672,BSE
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Confectioners,Consumer Defensive,45953286144,BSE
ARVIND,Arvind Limited,Textile Manufacturing,Consumer Cyclical,94183538688,BSE
BHEL,Bharat Heavy Electricals Limited,Specialty Industrial Machinery,Industrials,976021356544,BSE
HINDPETRO,Hindustan Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,946668503040,BSE
IFCI,IFCI Limited,Credit Services,Financial Services,170249256960,BSE
MTNL,Mahanagar Telephone Nigam Limited,Telecom Services,Communication Services,34423197696,BSE
MRPL,Mangalore Refinery and Petrochemicals Limited,Oil & Gas Refining & Marketing,Energy,316957720576,BSE
CHENNPETRO,Chennai Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,139350917120,BSE
SBIN,State Bank of India,Banks - Regional,Financial Services,7112913584128,BSE
SAIL,Steel Authority of India Limited,Steel,Basic Materials,582404734976,BSE
TITAN,Titan Company Limited,Luxury Goods,Consumer Cyclical,3349501706240,BSE
IDBI,IDBI Bank Limited,Banks - Regional,Financial Services,944060760064,BSE
DCW,DCW Limited,Chemicals,Basic Materials,31398588416,BSE
DHAMPURSUG,Dhampur Sugar Mills Limited,Confectioners,Consumer Defensive,14934526976,BSE
DIAMINESQ,Diamines and Chemicals Limited,Chemicals,Basic Materials,5471207424,BSE
ELANTAS,ELANTAS Beck India Limited,Unknown,Unknown,100520214528,BSE
DRREDDY,Dr. Reddy's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,1123994566656,BSE
EIDPARRY,E.I.D.- Parry (India) Limited,Agricultural Inputs,Basic Materials,154234699776,BSE
PGHL,Procter & Gamble Health Limited,Drug Manufacturers - Specialty & Generic,Healthcare,91845304320,BSE
ELECTCAST,Electrosteel Castings Limited,Building Products & Equipment,Industrials,131518865408,BSE
ESABINDIA,ESAB India Limited,Tools & Accessories,Industrials,95622086656,BSE
EPL,EPL Limited,Packaging & Containers,Consumer Cyclical,84479729664,BSE
ESTER,Ester Industries Limited,Specialty Chemicals,Basic Materials,14242646016,BSE
FGP,FGP Limited,Unknown,Unknown,130845000,BSE
PHCAP,P.H. Capital Limited,Unknown,Unknown,603170112,BSE
FINCABLES,Finolex Cables Limited,Electrical Equipment & Parts,Industrials,217356910592,BSE
COCKERILL,Unknown,Unknown,Unknown,0,BSE
UFLEX,Uflex Limited,Packaging & Containers,Consumer Cyclical,51071586304,BSE
FOSECOIND,Foseco India Limited,Chemicals,Basic Materials,30210830336,BSE
GOLDENTOBC,Golden Tobacco Limited,Tobacco,Consumer Defensive,745028352,BSE
GANESHBE,Ganesh Benzoplast Limited,Specialty Chemicals,Basic Materials,10553646080,BSE
METROGLOBL,MetroGlobal Limited,Unknown,Unknown,2409524992,BSE
GTL,GTL Limited,Telecom Services,Communication Services,2051152768,BSE
GODFRYPHLP,Godfrey Phillips India Limited,Tobacco,Consumer Defensive,353585758208,BSE
GODREJIND,Godrej Industries Limited,Conglomerates,Industrials,401122164736,BSE
KANSAINER,Kansai Nerolac Paints Limited,Specialty Chemicals,Basic Materials,251734818816,BSE
GOODRICKE,Goodricke Group Limited,Unknown,Unknown,5792039936,BSE
GOODYEAR,Goodyear India Limited,Auto Parts,Consumer Cyclical,26822879232,BSE
GTNINDS,GTN Industries Limited,Unknown,Unknown,671271104,BSE
GHCL,GHCL Limited,Chemicals,Basic Materials,65252110336,BSE
GFLLIMITED,GFL Limited,Entertainment,Communication Services,10068851712,BSE
GLFL,Gujarat Lease Financing Limited,Shell Companies,Financial Services,189880608,BSE
HCL-INSYS,HCL Infosystems Limited,Electronics & Computer Distribution,Technology,7127395840,BSE
HDFCBANK,HDFC Bank Limited,Banks - Regional,Financial Services,13172233732096,BSE
HEROMOTOCO,Hero MotoCorp Limited,Auto Manufacturers,Consumer Cyclical,1149904224256,BSE
HFCL,HFCL Limited,Communication Equipment,Technology,221606150144,BSE
HSCL,Himadri Speciality Chemical Limited,Specialty Chemicals,Basic Materials,329466019840,BSE
HCC,Hindustan Construction Company Limited,Engineering & Construction,Industrials,73041182720,BSE
HINDOILEXP,Hindustan Oil Exploration Company Limited,Oil & Gas E&P,Energy,30554744832,BSE
AGI,AGI Greenpac Limited,Packaging & Containers,Consumer Cyclical,62604439552,BSE
HINDZINC,Hindustan Zinc Limited,Other Industrial Metals & Mining,Basic Materials,2196532494336,BSE
NDLVENTURE,NDL Ventures Limited,Entertainment,Communication Services,3846980352,BSE
HMT,HMT Limited,Farm & Heavy Construction Machinery,Industrials,29763885056,BSE
PRAGBOS,Prag Bosimi Synthetics Limited,Unknown,Unknown,229099632,BSE
HLVLTD,HLV Limited,Lodging,Consumer Cyclical,11438161920,BSE
IGPL,I G Petrochemicals Limited,Chemicals,Basic Materials,18233600000,BSE
INDIAGLYCO,India Glycols Limited,Chemicals,Basic Materials,41977602048,BSE
INDLEASE,India Lease Development Limited,Unknown,Unknown,170817488,BSE
MARGOFIN,Margo Finance Limited,Unknown,Unknown,231699008,BSE
INDORAMA,Indo Rama Synthetics (India) Limited,Textile Manufacturing,Consumer Cyclical,12768425984,BSE
INFY,Infosys Limited,Information Technology Services,Technology,7887637184512,BSE
INGERRAND,Ingersoll-Rand (India) Limited,Specialty Industrial Machinery,Industrials,131712745472,BSE
ITHL,International Travel House Limited,Unknown,Unknown,5152455168,BSE
IONEXCHANG,Ion Exchange (India) Limited,Pollution & Treatment Controls,Industrials,78699790336,BSE
ATFL,Agro Tech Foods Limited,Packaged Foods,Consumer Defensive,20952723456,BSE
JISLJALEQS,Jain Irrigation Systems Limited,Conglomerates,Industrials,44252303360,BSE
JASCH,Unknown,Unknown,Unknown,0,BSE
JINDALPOLY,Jindal Poly Films Limited,Specialty Chemicals,Basic Materials,32388800512,BSE
JSWSTEEL,JSW Steel Limited,Steel,Basic Materials,2504669265920,BSE
UMANGDAIRY,Unknown,Packaged Foods,Consumer Defensive,2169515520,BSE
KAJARIACER,Kajaria Ceramics Limited,Building Products & Equipment,Industrials,235821285376,BSE
KAKATCEM,Kakatiya Cement Sugar and Industries Limited,Building Materials,Basic Materials,1742899328,BSE
KSL,Kalyani Steels Limited,Steel,Basic Materials,37406343168,BSE
KANELIND,Kanel Industries Limited,Unknown,Unknown,32774072,BSE
WHIRLPOOL,Whirlpool of India Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,289693204480,BSE
KGDENIM,K G Denim Limited,Unknown,Unknown,702475712,BSE
KINETICENG,Kinetic Engineering Limited,Unknown,Unknown,3109630208,BSE
KIRLOSBROS,Kirloskar Brothers Limited,Specialty Industrial Machinery,Industrials,144956964864,BSE
KIRLOSIND,Kirloskar Industries Limited,Metal Fabrication,Industrials,57099730944,BSE
KIRLFER,Kirloskar Ferrous Industries Limited,Metal Fabrication,Industrials,112023085056,BSE
ENVAIREL,Envair Electrodyne Limited,Unknown,Unknown,742400000,BSE
KOTAKBANK,Kotak Mahindra Bank Limited,Banks - Regional,Financial Services,3737466961920,BSE
KRIFILIND,Unknown,Unknown,Unknown,0,BSE
KSB,KSB Limited,Specialty Industrial Machinery,Industrials,157862084608,BSE
LGBBROSLTD,L.G. Balakrishnan & Bros Limited,Auto Parts,Consumer Cyclical,44228382720,BSE
TRENT,Trent Limited,Apparel Retail,Consumer Cyclical,2706091540480,BSE
LAXMIMACH,LMW Limited,Specialty Industrial Machinery,Industrials,195221143552,BSE
LICHSGFIN,LIC Housing Finance Limited,Mortgage Finance,Financial Services,362656497664,BSE
LUPIN,Lupin Limited,Drug Manufacturers - Specialty & Generic,Healthcare,1000891809792,BSE
LYKALABS,Lyka Labs Limited,Biotechnology,Healthcare,5075118080,BSE
RAMCOCEM,The Ramco Cements Limited,Building Materials,Basic Materials,207440887808,BSE
HYBRIDFIN,Hybrid Financial Services Limited,Capital Markets,Financial Services,371780480,BSE
MAFATIND,Mafatlal Industries Limited,Unknown,Unknown,2390236160,BSE
MAHSEAMLES,Maharashtra Seamless Limited,Steel,Basic Materials,86489653248,BSE
MAHSCOOTER,Maharashtra Scooters Ltd.,Auto Parts,Consumer Cyclical,135708344320,BSE
MAJESAUT,Majestic Auto Limited,Unknown,Unknown,4412178944,BSE
MANALIPETC,Manali Petrochemicals Limited,Specialty Chemicals,Basic Materials,14152078336,BSE
BARODARY,ISTX EUROPE S-FACT.NR EO,Unknown,Unknown,0,BSE
MFSL,Max Financial Services Limited,Insurance - Life,Financial Services,407607934976,BSE
MIDINDIA,Mid India Industries Limited,Unknown,Unknown,0,BSE
MIRCELECTR,MIRC Electronics Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,5614467072,BSE
CENTENKA,Century Enka Limited,Textile Manufacturing,Consumer Cyclical,15250626560,BSE
MODTHREAD,Unknown,Unknown,Unknown,2044434048,BSE
LORDSCHLO,Lords Chloro Alkali Limited,Chemicals,Basic Materials,3389488128,BSE
SPICEJET,SpiceJet Limited,Unknown,Unknown,40896733184,BSE
MOREPENLAB,Morepen Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,48066523136,BSE
MRF,MRF Limited,Auto Parts,Consumer Cyclical,594488393728,BSE
HEIDELBERG,HeidelbergCement India Limited,Building Materials,Basic Materials,50538713088,BSE
NCC,NCC Limited,Engineering & Construction,Industrials,191084969984,BSE
VEDL,Vedanta Limited,Other Industrial Metals & Mining,Basic Materials,2015141691392,BSE
NAHARSPING,Nahar Spinning Mills Limited,Textile Manufacturing,Consumer Cyclical,10853852160,BSE
NAPEROL,Unknown,Unknown,Unknown,0,BSE
GRASIM,Grasim Industries Limited,Building Materials,Basic Materials,1879979458560,BSE
PEL,Piramal Enterprises Limited,Financial Conglomerates,Financial Services,247726915584,BSE
NIITLTD,NIIT Limited,Education & Training Services,Consumer Defensive,22970591232,BSE
JAYKAY,Jaykay Enterprises Limited,Unknown,Unknown,3707909632,BSE
NIRLON,Nirlon Limited,Unknown,Unknown,37552173056,BSE
ONGC,Oil and Natural Gas Corporation Limited,Oil & Gas Integrated,Energy,3676592668672,BSE
OILCOUNTUB,Oil Country Tubular Limited,Oil & Gas Equipment & Services,Energy,2459395840,BSE
ORIENTHOT,Oriental Hotels Limited,Lodging,Consumer Cyclical,31415564288,BSE
OSWALAGRO,Oswal Agro Mills Limited,Real Estate - Development,Real Estate,11861005312,BSE
INDSUCR,Indian Sucrose Limited,Unknown,Unknown,1989160448,BSE
PANCM,Unknown,Unknown,Unknown,0,BSE
RELIANCE,Reliance Industries Limited,Oil & Gas Refining & Marketing,Energy,19823700475904,BSE
PILITA,Pil Italica Lifestyle Limited,"Furnishings, Fixtures & Appliances",Consumer Cyclical,3691849984,BSE
RAYMOND,Raymond Limited,Textile Manufacturing,Consumer Cyclical,115955826688,BSE
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals,Basic Materials,1698844246016,BSE
PIXTRANS,PIX Transmissions Limited,Specialty Industrial Machinery,Industrials,21771708416,BSE
BIRLACORPN,Birla Corporation Limited,Building Materials,Basic Materials,99217473536,BSE
SURYAROSNI,Surya Roshni Limited,Steel,Basic Materials,78888894464,BSE
PRIMESECU,Prime Securities Limited,Capital Markets,Financial Services,9108228096,BSE
PRSMJOHNSN,Prism Johnson Limited,Building Materials,Basic Materials,102181470208,BSE
RAIN,Rain Industries Limited,Chemicals,Basic Materials,61517676544,BSE
PRUDMOULI,Prudential Sugar Corporation Ltd.,Unknown,Unknown,1856425216,BSE
AMJLAND,AMJ Land Holdings Limited,Real Estate - Development,Real Estate,2084440064,BSE
PUNJCOMMU,Punjab Communications Limited,Unknown,Unknown,672239488,BSE
RSWM,RSWM Limited,Textile Manufacturing,Consumer Cyclical,9891356672,BSE
RAJSREESUG,Rajshree Sugars and Chemicals Limited,Confectioners,Consumer Defensive,2579275008,BSE
RALLIS,Rallis India Limited,Agricultural Inputs,Basic Materials,63863615488,BSE
RAMANEWS,Shree Rama Newsprint Limited,Beverages - Non-Alcoholic,Consumer Defensive,3072883200,BSE
RAMAPPR-B,Rama Paper Mills Limited,Unknown,Unknown,163913808,BSE
RAPICUT,Rapicut Carbides Limited,Unknown,Unknown,783126784,BSE
WELSPLSOL,Unknown,Unknown,Unknown,0,BSE
ROLTA,Rolta India Limited,Information Technology Services,Technology,598866496,BSE
RUBFILA,Rubfila International Limited,Specialty Chemicals,Basic Materials,4429855744,BSE
PATANJALI,Patanjali Foods Limited,Packaged Foods,Consumer Defensive,615768981504,BSE
SALORAINTL,Salora International Limited,Unknown,Unknown,515667424,BSE
JINDALSAW,Jindal Saw Limited,Steel,Basic Materials,233948037120,BSE
JKLAKSHMI,JK Lakshmi Cement Limited,Building Materials,Basic Materials,92412559360,BSE
SHREECEM,Shree Cement Limited,Building Materials,Basic Materials,956217884672,BSE
SKPMIL,Shree Krishna Paper Mills & Industries Limited,Unknown,Unknown,581162688,BSE
SILVERLINE,Unknown,Unknown,Unknown,0,BSE
RELINFRA,Reliance Infrastructure Limited,Utilities - Independent Power Producers,Utilities,131425435648,BSE
TATAPOWER,The Tata Power Company Limited,Utilities - Independent Power Producers,Utilities,1536958529536,BSE
SPMLINFRA,SPML Infra Limited,Engineering & Construction,Industrials,16026683392,BSE
SUNDRMFAST,Sundram Fasteners Limited,Auto Parts,Consumer Cyclical,294588940288,BSE
SUNFLAG,Sunflag Iron and Steel Company Limited,Steel,Basic Materials,43937394688,BSE
SPLPETRO,Supreme Petrochem Limited,Specialty Chemicals,Basic Materials,164009361408,BSE
SWARAJENG,Swaraj Engines Limited,Auto Parts,Consumer Cyclical,39016517632,BSE
TATAELXSI,Tata Elxsi Limited,Software - Application,Technology,483781705728,BSE
ACC,ACC Limited,Building Materials,Basic Materials,471251484672,BSE
THERMAX,Thermax Limited,Conglomerates,Industrials,574236065792,BSE
TIRUMALCHM,Thirumalai Chemicals Limited,Specialty Chemicals,Basic Materials,34212950016,BSE
THOMASCOOK,Thomas Cook (India) Limited,Travel Services,Consumer Cyclical,95520915456,BSE
TIMEX,Timex Group India Limited,Unknown,Unknown,13572726784,BSE
TOKYOPLAST,Tokyo Plast International Limited,Packaging & Containers,Consumer Cyclical,1190905600,BSE
TORNTPHARM,Torrent Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,1140559577088,BSE
TPINDIA,Unknown,Unknown,Unknown,0,BSE
TRANSCHEM,Transchem Limited,Unknown,Unknown,509061600,BSE
AMBUJACEM,Ambuja Cements Limited,Building Materials,Basic Materials,1556199112704,BSE
UTLINDS,UTL Industries Limited,Unknown,Unknown,127535848,BSE
UNIENTER,Unknown,Chemicals,Basic Materials,12309606400,BSE
VHL,Vardhman Holdings Limited,Credit Services,Financial Services,13471968256,BSE
HINDALCO,Hindalco Industries Limited,Aluminum,Basic Materials,1691116371968,BSE
WSTCSTPAPR,West Coast Paper Mills Limited,Paper & Paper Products,Basic Materials,41141862400,BSE
HOCL,Hindustan Organic Chemicals Limited,Unknown,Unknown,3069138944,BSE
MPILCORPL,MPIL Corporation Limited,Unknown,Unknown,332657824,BSE
PASUPTAC,Pasupati Acrylon Limited,Textile Manufacturing,Consumer Cyclical,4669683200,BSE
KORE,Kore Foods Limited,Unknown,Unknown,83530504,BSE
PGHH,Procter & Gamble Hygiene and Health Care Limited,Household & Personal Products,Consumer Defensive,543070060544,BSE
MUKANDLTD,Mukand Limited,Steel,Basic Materials,23480600576,BSE
BBOX,Black Box Limited,Software - Application,Technology,84785438720,BSE
UCAL,UCAL Limited,Auto Parts,Consumer Cyclical,4335371264,BSE
HARRMALAYA,Harrisons Malayalam Limited,Farm Products,Consumer Defensive,4814091264,BSE
FEDERALBNK,The Federal Bank Limited,Banks - Regional,Financial Services,483383836672,BSE
TATASTEEL,Tata Steel Limited,Steel,Basic Materials,2085128634368,BSE
SKFINDIA,SKF India Limited,Tools & Accessories,Industrials,269350584320,BSE
ASHOKLEY,Ashok Leyland Limited,Farm & Heavy Construction Machinery,Industrials,699310800896,BSE
CUMMINSIND,Cummins India Limited,Specialty Industrial Machinery,Industrials,1074413305856,BSE
TATACOMM,Tata Communications Limited,Telecom Services,Communication Services,614830505984,BSE
ABBOTINDIA,Abbott India Limited,Drug Manufacturers - General,Healthcare,617131737088,BSE
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Asset Management,Financial Services,1180439805952,BSE
BHARATFORG,Bharat Forge Limited,Auto Parts,Consumer Cyclical,711908851712,BSE
ESCORTS,Escorts Kubota Limited,Farm & Heavy Construction Machinery,Industrials,456874885120,BSE
HINDMOTORS,Hindustan Motors Limited,Auto Manufacturers,Consumer Cyclical,5790287360,BSE
LT,Larsen & Toubro Limited,Engineering & Construction,Industrials,5023550930944,BSE
M&M,Mahindra & Mahindra Limited,Auto Manufacturers,Consumer Cyclical,3530915840000,BSE
BOSCHLTD,Bosch Limited,Auto Parts,Consumer Cyclical,1116506685440,BSE
BPCL,Bharat Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,1572309434368,BSE
SIEMENS,Siemens Limited,Specialty Industrial Machinery,Industrials,2677523873792,BSE
TATAMOTORS,Tata Motors Limited,Auto Manufacturers,Consumer Cyclical,3943647674368,BSE
VOLTAS,Voltas Limited,Specialty Industrial Machinery,Industrials,613841305600,BSE
GESHIP,The Great Eastern Shipping Company Limited,Marine Shipping,Industrials,171485151232,BSE
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Limited,Chemicals,Basic Materials,140288294912,BSE
EXCELINDUS,Excel Industries Limited,Specialty Chemicals,Basic Materials,19059695616,BSE
GRWRHITECH,Garware Hi-Tech Films Limited,Specialty Chemicals,Basic Materials,91669241856,BSE
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Drug Manufacturers - General,Healthcare,463909847040,BSE
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Chemicals,Basic Materials,102755835904,BSE
NOVARTIND,Novartis India Limited,Drug Manufacturers - Specialty & Generic,Healthcare,27337652224,BSE
SANOFI,Sanofi India Limited,Drug Manufacturers - General,Healthcare,162901196800,BSE
PFIZER,Pfizer Limited,Drug Manufacturers - General,Healthcare,254471700480,BSE
GSFC,Gujarat State Fertilizers & Chemicals Limited,Agricultural Inputs,Basic Materials,89219227648,BSE
HINDUNILVR,Hindustan Unilever Limited,Household & Personal Products,Consumer Defensive,6865384636416,BSE
AKZOINDIA,Akzo Nobel India Limited,Specialty Chemicals,Basic Materials,179308101632,BSE
NOCIL,NOCIL Limited,Specialty Chemicals,Basic Materials,48685608960,BSE
TATACHEM,Tata Chemicals Limited,Chemicals,Basic Materials,288447496192,BSE
TNPETRO,Tamilnadu Petroproducts Limited,Specialty Chemicals,Basic Materials,8275579392,BSE
ZUARIIND,Zuari Industries Limited,Conglomerates,Industrials,11002664960,BSE
NESTLEIND,Nestlé India Limited,Packaged Foods,Consumer Defensive,2610021269504,BSE
TATACONSUM,Tata Consumer Products Limited,Packaged Foods,Consumer Defensive,1183970361344,BSE
ASIANPAINT,Asian Paints Limited,Specialty Chemicals,Basic Materials,3141749964800,BSE
BRITANNIA,Britannia Industries Limited,Packaged Foods,Consumer Defensive,1552659251200,BSE
COLPAL,Colgate-Palmolive (India) Limited,Household & Personal Products,Consumer Defensive,1038714470400,BSE
EIHOTEL,EIH Limited,Lodging,Consumer Cyclical,238294925312,BSE
INDHOTEL,The Indian Hotels Company Limited,Lodging,Consumer Cyclical,969640574976,BSE
CASTROLIND,Castrol India Limited,Oil & Gas Refining & Marketing,Energy,242038145024,BSE
ITC,ITC Limited,Tobacco,Consumer Defensive,6456443666432,BSE
APOLLOTYRE,Apollo Tyres Limited,Auto Parts,Consumer Cyclical,349813604352,BSE
CEATLTD,CEAT Limited,Auto Parts,Consumer Cyclical,129191395328,BSE
MODIRUBBER,Modi Rubber Limited,Real Estate Services,Real Estate,3175135488,BSE
FINPIPE,Unknown,Building Products & Equipment,Industrials,172177063936,BSE
SUNRINV,Unknown,Unknown,Unknown,0,BSE
ZGOLDINV,Unknown,Unknown,Unknown,0,BSE
PEOPLIN,Unknown,Unknown,Unknown,0,BSE
DSINVEST,Dalal Street Investments Limited,Unknown,Unknown,177544192,BSE
CENTRUM,Centrum Capital Limited,Financial Conglomerates,Financial Services,14377857024,BSE
TCIFINANCE,TCI Finance Limited,Credit Services,Financial Services,190255552,BSE
KRATOSENER,Unknown,Unknown,Unknown,0,BSE
ANTARIKSH,Unknown,Unknown,Unknown,0,BSE
IITL,Industrial Investment Trust Limited,Credit Services,Financial Services,5980683776,BSE
INDPRUD,Industrial & Prudential Investment Company Limited,Unknown,Unknown,11535737856,BSE
TATAINVEST,Tata Investment Corporation Limited,Capital Markets,Financial Services,344943591424,BSE
JAYBHCR,Jayabharat Credit Limited,Unknown,Unknown,44000000,BSE
PRISMX,Unknown,Unknown,Unknown,0,BSE
MOTOGENFIN,The Motor & General Finance Limited,Real Estate Services,Real Estate,1556058880,BSE
RAPIDIN,Unknown,Unknown,Unknown,0,BSE
WALCHPF,Walchand PeopleFirst Limited,Unknown,Unknown,555514176,BSE
ZSWASTSA,Unknown,Unknown,Unknown,0,BSE
WHBRADY,W.H. Brady & Company Limited,Unknown,Unknown,2218117376,BSE
TECHNVISN,TechNVision Ventures Limited,Unknown,Unknown,24752052224,BSE
SHAILY,Shaily Engineering Plastics Limited,Specialty Chemicals,Basic Materials,46328467456,BSE
BBTC,"The Bombay Burmah Trading Corporation, Limited",Packaged Foods,Consumer Defensive,201368698880,BSE
BOMBCYC,Bombay Cycle & Motor Agency Limited,Unknown,Unknown,714660032,BSE
GREAVESCOT,Greaves Cotton Limited,Specialty Industrial Machinery,Industrials,41858383872,BSE
MULLER,Muller & Phipps (India) Limited,Unknown,Unknown,173343760,BSE
SFTL,Unknown,Unknown,Unknown,0,BSE
AMALGAM,The Amalgamated Electricity Company Limited,Unknown,Unknown,274596832,BSE
ANANDPROJ,Unknown,Unknown,Unknown,0,BSE
INDIANVSH,IndiaNivesh Limited,Unknown,Unknown,536049984,BSE
COASTCORP,Coastal Corporation Limited,Packaged Foods,Consumer Defensive,3311633152,BSE
